n_trgts,p2,mean_fid,std_fid
1,0.001,0.9946748460297947,0.0013540635525026434
1,0.003,0.9821993657983401,0.0024668832235657293
1,0.005,0.9708226469484894,0.0028759319235143613
2,0.001,0.9899060557355971,0.0023311824774010052
2,0.003,0.9711971622004616,0.003657433700056649
2,0.005,0.9522041934693213,0.0038649206090765314
3,0.001,0.9857349276412957,0.002517921366818342
3,0.003,0.9588909911781389,0.003881565293155584
3,0.005,0.9315907783677471,0.005971210227523415
4,0.001,0.981978382492257,0.0029700002060425016
4,0.003,0.9490445810375625,0.004900879503125702
4,0.005,0.9171756843532004,0.006226076713199277
5,0.001,0.9783942940442032,0.003198496794600458
5,0.003,0.9236310548709116,0.005538454481816107
5,0.005,0.8803696118759495,0.007747487897585163
6,0.001,0.9702785057990154,0.004155623989920002
6,0.003,0.915603762132832,0.006498635619488313
6,0.005,0.8649992606761012,0.008012756525683241
