n_trgts,p2,mean_fid,std_fid
1,0.001,0.9901854214534647,0.0012574343023282165
1,0.003,0.9722660819225362,0.003341547994603855
1,0.005,0.9523406200293556,0.005455759993132749
2,0.001,0.981608050278894,0.002765383593389072
2,0.003,0.9439009227481489,0.006500690170523635
2,0.005,0.9081730006867101,0.007134590821953759
3,0.001,0.9724853189745982,0.0034713790666357825
3,0.003,0.9165838458324003,0.006183698682759558
3,0.005,0.8651288769347026,0.008480787383113421
4,0.001,0.9624122416385463,0.004380360822490342
4,0.003,0.8925597436248696,0.007024503088528751
4,0.005,0.8282780959458859,0.009391926120762277
5,0.001,0.9541746978144988,0.0047593338759963875
5,0.003,0.8639204324870182,0.008201681622897049
5,0.005,0.7887311105334113,0.009861323105869525
