method,n_trgts,p2,mean_fid,std_fid,n_samples
telegate,1,0.005,0.9440506354555317,0.001936300210950777,8
telegate,1,0.003,0.9688038269328707,0.004216364870884883,8
telegate,1,0.001,0.9906164588657808,0.0015078500325914877,8
telegate,2,0.005,0.8993726178265051,0.0052744748695136845,32
telegate,2,0.003,0.9385081254950811,0.005599625128896396,32
telegate,2,0.001,0.9796156046452886,0.0030048051842976884,32
telegate,3,0.005,0.8501972749813,0.007573298148136676,128
telegate,3,0.003,0.907961088083906,0.0062478454177872685,128
telegate,3,0.001,0.9697846714794023,0.00400537318725459,128
telegate,4,0.005,0.8107394574375352,0.009183934553947537,300
telegate,4,0.003,0.880948046171808,0.00795942498387385,300
telegate,4,0.001,0.9582416270156159,0.0046564118301496244,300
telegate,5,0.005,0.7681568200974663,0.01053000416660383,300
telegate,5,0.003,0.8503193601947512,0.008687649930929946,300
telegate,5,0.001,0.9492149896168657,0.004775408707144312,300
