method,n_trgts,p2,mean_fid,std_fid,n_samples
teledata,1,0.001,0.9917173406876413,0.002114326652665023,134
teledata,1,0.003,0.9747340959082882,0.0034438479659982904,127
teledata,1,0.005,0.958404707510381,0.004561433621721621,137
teledata,2,0.001,0.9844525856341055,0.002889093181718904,147
teledata,2,0.003,0.953052940300348,0.005283584079354401,145
teledata,2,0.005,0.9237688529491558,0.005740699963364527,146
teledata,3,0.001,0.9766842912220084,0.0032481628428118747,142
teledata,3,0.003,0.930098591385414,0.00622997458055128,148
teledata,3,0.005,0.8875837802805413,0.0071816855309203235,149
teledata,4,0.001,0.9685273795607309,0.003946978489541569,148
teledata,4,0.003,0.9114837389414088,0.006507657164119851,149
teledata,4,0.005,0.8549842015425082,0.007950662197993097,150
teledata,5,0.001,0.9616134150287301,0.004437580434966286,150
teledata,5,0.003,0.8867797238394367,0.007349357381371887,150
teledata,5,0.005,0.821906629030985,0.008658054338176856,150
